Date;MSCI
14/04/2020;313.41
15/04/2020;309.62
16/04/2020;309.4
17/04/2020;317.18
20/04/2020;321.95
21/04/2020;311.32
22/04/2020;320.62
23/04/2020;317.44
24/04/2020;324.89
27/04/2020;331.61
28/04/2020;319.16
29/04/2020;334.7
30/04/2020;327
01/05/2020;319.94
04/05/2020;321.46
05/05/2020;337.34
06/05/2020;330.25
07/05/2020;334.1
08/05/2020;333.58
11/05/2020;347.25
12/05/2020;347.12
13/05/2020;335.62
14/05/2020;342.05
15/05/2020;341.22
18/05/2020;346.75
19/05/2020;337.53
20/05/2020;341.51
21/05/2020;333.35
22/05/2020;337.97
25/05/2020;#N/A N/A
26/05/2020;326.17
27/05/2020;315.17
28/05/2020;322.68
29/05/2020;328.85
01/06/2020;335.37
02/06/2020;324.92
03/06/2020;318.58
04/06/2020;311.58
05/06/2020;330.88
08/06/2020;331.09
09/06/2020;327.16
10/06/2020;331.27
11/06/2020;299.94
12/06/2020;320.95
15/06/2020;322.12
16/06/2020;322.9
17/06/2020;325.9
18/06/2020;330.07
19/06/2020;333.46
22/06/2020;337.55
23/06/2020;334.82
24/06/2020;328.36
25/06/2020;342.17
26/06/2020;332.2
29/06/2020;325.75
30/06/2020;333.82
01/07/2020;340.93
02/07/2020;342.13
03/07/2020;#N/A N/A
06/07/2020;351.21
07/07/2020;352.61
08/07/2020;370.71
09/07/2020;375.14
10/07/2020;370.95
13/07/2020;363.87
14/07/2020;369.08
15/07/2020;376.25
16/07/2020;370.16
17/07/2020;379.62
20/07/2020;389.02
21/07/2020;389.05
22/07/2020;390.12
23/07/2020;384.98
24/07/2020;385.65
27/07/2020;394
28/07/2020;376.25
29/07/2020;383.02
30/07/2020;374.54
31/07/2020;375.98
03/08/2020;371.91
04/08/2020;364.35
05/08/2020;364.58
06/08/2020;372.72
07/08/2020;362.37
10/08/2020;354.31
11/08/2020;350.53
12/08/2020;354.77
13/08/2020;359.87
14/08/2020;356.41
17/08/2020;361.66
18/08/2020;366.2
19/08/2020;371.4
20/08/2020;368.74
21/08/2020;363.69
24/08/2020;363.99
25/08/2020;365.53
26/08/2020;371.6
27/08/2020;369.89
28/08/2020;373.68
31/08/2020;373.27
01/09/2020;377.56
02/09/2020;378.59
03/09/2020;360.46
04/09/2020;348.18
07/09/2020;#N/A N/A
08/09/2020;339.64
09/09/2020;348.69
10/09/2020;342.53
11/09/2020;339.25
14/09/2020;342.37
15/09/2020;346
16/09/2020;344.47
17/09/2020;340.36
18/09/2020;344.96
21/09/2020;351.73
22/09/2020;351.24
23/09/2020;345.46
24/09/2020;346.12
25/09/2020;352.96
28/09/2020;354.47
29/09/2020;356.03
30/09/2020;356.78
01/10/2020;359.54
02/10/2020;348.16
05/10/2020;351.31
06/10/2020;347.92
07/10/2020;342.81
08/10/2020;346.4
09/10/2020;352.33
12/10/2020;352.64
13/10/2020;359.97
14/10/2020;359.04
15/10/2020;361.62
16/10/2020;365.61
19/10/2020;362.67
20/10/2020;358.57
21/10/2020;350.01
22/10/2020;347.63
23/10/2020;350.55
26/10/2020;349.56
27/10/2020;356.9
28/10/2020;340.68
29/10/2020;345.49
30/10/2020;349.84
